Date;Spieler;Lvl;XP Bar
2026-03-16;Simon;71;137443219
2026-03-16;Steirer985;60;1614367
2026-03-16;SwanHill666;72;93564793
2026-03-16;Tastef;77;216989299
2026-03-16;Thombay;72;5810445
2026-03-16;Thomzay;52;1092526
2026-03-16;Trada17;73;125999974
2026-03-16;phiiilgood;63;915306
2026-03-23;13TurboDoudl12;67;4013033
2026-03-23;86Berni;75;78527423
2026-03-23;90erTom;69;5483617
2026-03-23;AnSaCruiser;79;447512558
2026-03-23;Azog;71;113858688
2026-03-23;Babsi;66;2894726
2026-03-23;Cerius;61;2743412
2026-03-23;Gloria;53;1298097
2026-03-23;Ins3rtN4m3Her3;42;470350
2026-03-23;Janajo2022;63;818348
2026-03-23;LuanY3lloW;76;78618423
2026-03-23;LuanY3lloW2023;37;114296
2026-03-23;Martin;58;976044
2026-03-23;Paul;52;1531136
2026-03-23;Prinzessina14;63;3481849
2026-03-23;RedAtomika;75;17185317
2026-03-23;SecretSaphir;67;1646019
2026-03-23;Simon;71;137671844
2026-03-23;Steirer985;60;1723152
2026-03-23;SwanHill666;72;94001112
2026-03-23;Tastef;77;218683047
2026-03-23;Thombay;72;8643550
2026-03-23;Thomzay;53;1381311
2026-03-23;Trada17;73;126501648
2026-03-23;phiiilgood;63;3965892
