date,account,battles_won
2026-04-20,Trada17,3302.0
2026-04-20,phiiilgood,2029.0
2026-04-28,13TurboDoudl12,3455.0
2026-04-28,86Berni,6433.0
2026-04-28,90erTom,1490.0
2026-04-28,AnSaCruiser,15128.0
2026-04-28,Azog,7569.0
2026-04-28,Babsi,1604.0
2026-04-28,Cerius,639.0
2026-04-28,Gloria,1359.0
2026-04-28,Ins3rtN4m3Her3,167.0
2026-04-28,Janajo2022,6177.0
2026-04-28,LuanY3lloW,7420.0
2026-04-28,LuanY3lloW2023,49.0
2026-04-28,Martin,813.0
2026-04-28,Paul,480.0
2026-04-28,PhilDhill,5851.0
2026-04-28,Prinzessina14,5134.0
2026-04-28,RedAtomika,7701.0
2026-04-28,SecretSaphir,5070.0
2026-04-28,Simon,5756.0
2026-04-28,Steirer985,4106.0
2026-04-28,SwanHill666,7097.0
2026-04-28,Tastef,7749.0
2026-04-28,Thombay,3012.0
2026-04-28,Thomzay,611.0
2026-04-28,Trada17,3302.0
2026-04-28,phiiilgood,2059.0
2026-05-04,86Berni,6443.0
2026-05-04,90erTom,1494.0
2026-05-04,AnSaCruiser,15161.0
2026-05-04,Azog,7573.0
2026-05-04,Babsi,1604.0
2026-05-04,Cerius,640.0
2026-05-04,Gloria,1359.0
2026-05-04,Ins3rtN4m3Her3,169.0
2026-05-04,Janajo2022,6186.0
2026-05-04,LuanY3lloW,7424.0
2026-05-04,LuanY3lloW2023,49.0
2026-05-04,Martin,824.0
2026-05-04,Paul,482.0
2026-05-04,PhilDhill,5895.0
2026-05-04,Prinzessina14,5139.0
2026-05-04,RedAtomika,7714.0
2026-05-04,SecretSaphir,5076.0
2026-05-04,Simon,5756.0
2026-05-04,Steirer985,4113.0
2026-05-04,SwanHill666,7125.0
2026-05-04,Tastef,7760.0
2026-05-04,Thombay,3021.0
2026-05-04,Thomzay,612.0
2026-05-04,Trada17,3304.0
2026-05-04,phiiilgood,2120.0
2026-05-05,PhilDlow,17.0
