date,account,entry_type,region,value
2026-02-17,Cerius,pokemon,hisui,6.0
2026-02-17,Cerius,pokemon,paldea,53.0
2026-02-17,Thomzay,pokemon,kanto,131.0
2026-02-17,Thomzay,pokemon,johto,73.0
2026-02-17,Thomzay,pokemon,hoenn,99.0
2026-02-17,Thomzay,pokemon,sinnoh,61.0
2026-02-17,Thomzay,pokemon,unova,103.0
2026-02-17,Thomzay,pokemon,kalos,45.0
2026-02-17,Thomzay,pokemon,alola,38.0
2026-02-17,Thomzay,pokemon,galar,44.0
2026-02-17,Thomzay,pokemon,hisui,2.0
2026-02-17,Thomzay,pokemon,paldea,43.0
2026-03-06,Thombay,pokemon,kanto,151.0
2026-03-06,Thombay,pokemon,johto,100.0
2026-03-06,Thombay,pokemon,hoenn,135.0
2026-03-06,Thombay,pokemon,sinnoh,104.0
2026-03-06,Thombay,pokemon,unova,156.0
2026-03-06,Thombay,pokemon,kalos,71.0
2026-03-06,Thombay,pokemon,alola,67.0
2026-03-06,Thombay,pokemon,galar,63.0
2026-03-06,Thombay,pokemon,hisui,6.0
2026-03-06,Thombay,pokemon,paldea,63.0
2026-03-06,Cerius,pokemon,kanto,151.0
2026-03-06,Cerius,pokemon,johto,98.0
2026-03-06,Cerius,pokemon,hoenn,130.0
2026-03-06,Cerius,pokemon,sinnoh,91.0
2026-03-06,Cerius,pokemon,unova,148.0
2026-03-06,Cerius,pokemon,kalos,67.0
2026-03-06,Cerius,pokemon,alola,61.0
2026-03-06,Cerius,pokemon,galar,56.0
2026-03-06,Cerius,pokemon,hisui,6.0
2026-03-06,Cerius,pokemon,paldea,53.0
2026-03-06,Thomzay,pokemon,kanto,137.0
2026-03-06,Thomzay,pokemon,johto,79.0
2026-03-06,Thomzay,pokemon,hoenn,104.0
2026-03-06,Thomzay,pokemon,sinnoh,70.0
2026-03-06,Thomzay,pokemon,unova,111.0
2026-03-06,Thomzay,pokemon,kalos,55.0
2026-03-06,Thomzay,pokemon,alola,40.0
2026-03-06,Thomzay,pokemon,galar,44.0
2026-03-06,Thomzay,pokemon,hisui,2.0
2026-03-06,Thomzay,pokemon,paldea,44.0
2026-03-09,Thombay,pokemon,kanto,151.0
2026-03-09,Thombay,pokemon,johto,100.0
2026-03-09,Thombay,pokemon,hoenn,135.0
2026-03-09,Thombay,pokemon,sinnoh,104.0
2026-03-09,Thombay,pokemon,unova,156.0
2026-03-09,Thombay,pokemon,kalos,72.0
2026-03-09,Thombay,pokemon,alola,67.0
2026-03-09,Thombay,pokemon,galar,63.0
2026-03-09,Thombay,pokemon,hisui,6.0
2026-03-09,Thombay,pokemon,paldea,63.0
2026-03-09,Cerius,pokemon,kanto,151.0
2026-03-09,Cerius,pokemon,johto,98.0
2026-03-09,Cerius,pokemon,hoenn,130.0
2026-03-09,Cerius,pokemon,sinnoh,91.0
2026-03-09,Cerius,pokemon,unova,148.0
2026-03-09,Cerius,pokemon,kalos,67.0
2026-03-09,Cerius,pokemon,alola,62.0
2026-03-09,Cerius,pokemon,galar,56.0
2026-03-09,Cerius,pokemon,hisui,6.0
2026-03-09,Cerius,pokemon,paldea,53.0
2026-03-09,Thomzay,pokemon,kanto,140.0
2026-03-09,Thomzay,pokemon,johto,80.0
2026-03-09,Thomzay,pokemon,hoenn,104.0
2026-03-09,Thomzay,pokemon,sinnoh,70.0
2026-03-09,Thomzay,pokemon,unova,111.0
2026-03-09,Thomzay,pokemon,kalos,57.0
2026-03-09,Thomzay,pokemon,alola,41.0
2026-03-09,Thomzay,pokemon,galar,45.0
2026-03-09,Thomzay,pokemon,hisui,2.0
2026-03-09,Thomzay,pokemon,paldea,44.0
2026-03-24,Thombay,pokemon,kanto,151.0
2026-03-24,Thombay,pokemon,johto,100.0
2026-03-24,Thombay,pokemon,hoenn,135.0
2026-03-24,Thombay,pokemon,sinnoh,104.0
2026-03-24,Thombay,pokemon,unova,156.0
2026-03-24,Thombay,pokemon,kalos,72.0
