date,account,entry_type,region,value
2026-06-11,Cerius,purified,alola,0.0
2026-06-11,Cerius,hundo,kanto,11.0
2026-06-11,Cerius,hundo,johto,4.0
2026-06-11,Cerius,hundo,hoenn,9.0
2026-06-11,Cerius,hundo,sinnoh,5.0
2026-06-11,Cerius,hundo,unova,11.0
2026-06-11,Cerius,hundo,kalos,9.0
2026-06-11,Cerius,hundo,alola,4.0
2026-06-11,Cerius,hundo,galar,2.0
2026-06-11,Cerius,hundo,hisui,0.0
2026-06-11,Cerius,hundo,paldea,0.0
2026-06-11,Cerius,hundo,unidentified,2.0
2026-06-11,Thomzay,pokemon,kanto,151.0
2026-06-11,Thomzay,pokemon,johto,93.0
2026-06-11,Thomzay,pokemon,hoenn,118.0
2026-06-11,Thomzay,pokemon,sinnoh,88.0
2026-06-11,Thomzay,pokemon,unova,128.0
2026-06-11,Thomzay,pokemon,kalos,66.0
2026-06-11,Thomzay,pokemon,alola,55.0
2026-06-11,Thomzay,pokemon,galar,57.0
2026-06-11,Thomzay,pokemon,hisui,3.0
2026-06-11,Thomzay,pokemon,paldea,58.0
2026-06-11,Thomzay,pokemon,unidentified,2.0
2026-06-11,Thomzay,shiny,kanto,19.0
2026-06-11,Thomzay,shiny,johto,6.0
2026-06-11,Thomzay,shiny,hoenn,11.0
2026-06-11,Thomzay,shiny,sinnoh,9.0
2026-06-11,Thomzay,shiny,unova,13.0
2026-06-11,Thomzay,shiny,kalos,3.0
2026-06-11,Thomzay,shiny,alola,4.0
2026-06-11,Thomzay,shiny,galar,6.0
2026-06-11,Thomzay,shiny,hisui,1.0
2026-06-11,Thomzay,shiny,paldea,7.0
2026-06-11,Thomzay,shiny,unidentified,2.0
2026-06-11,Thomzay,lucky,kanto,7.0
2026-06-11,Thomzay,lucky,johto,1.0
2026-06-11,Thomzay,lucky,hoenn,0.0
2026-06-11,Thomzay,lucky,sinnoh,2.0
2026-06-11,Thomzay,lucky,unova,2.0
2026-06-11,Thomzay,lucky,kalos,0.0
2026-06-11,Thomzay,lucky,alola,0.0
2026-06-11,Thomzay,lucky,galar,3.0
2026-06-11,Thomzay,lucky,paldea,1.0
2026-06-11,Thomzay,xxl,kanto,22.0
2026-06-11,Thomzay,xxl,johto,6.0
2026-06-11,Thomzay,xxl,hoenn,15.0
2026-06-11,Thomzay,xxl,sinnoh,4.0
2026-06-11,Thomzay,xxl,unova,12.0
2026-06-11,Thomzay,xxl,kalos,7.0
2026-06-11,Thomzay,xxl,alola,6.0
2026-06-11,Thomzay,xxl,galar,3.0
2026-06-11,Thomzay,xxl,paldea,3.0
2026-06-11,Thomzay,xxl,unidentified,1.0
2026-06-11,Thomzay,xxs,kanto,17.0
2026-06-11,Thomzay,xxs,johto,6.0
2026-06-11,Thomzay,xxs,hoenn,5.0
2026-06-11,Thomzay,xxs,sinnoh,5.0
2026-06-11,Thomzay,xxs,unova,14.0
2026-06-11,Thomzay,xxs,kalos,6.0
2026-06-11,Thomzay,xxs,alola,3.0
2026-06-11,Thomzay,xxs,galar,8.0
2026-06-11,Thomzay,xxs,paldea,4.0
2026-06-11,Thomzay,xxs,unidentified,1.0
2026-06-11,Thomzay,gmax,kanto,6.0
2026-06-11,Thomzay,gmax,unova,0.0
2026-06-11,Thomzay,gmax,galar,1.0
2026-06-11,Thomzay,mega,kanto,8.0
2026-06-11,Thomzay,mega,johto,5.0
2026-06-11,Thomzay,mega,hoenn,9.0
2026-06-11,Thomzay,mega,sinnoh,2.0
2026-06-11,Thomzay,mega,kalos,2.0
2026-06-11,Thomzay,mega,galar,1.0
2026-06-11,Thomzay,shadow,kanto,17.0
2026-06-11,Thomzay,shadow,johto,12.0
2026-06-11,Thomzay,shadow,hoenn,17.0
2026-06-11,Thomzay,shadow,sinnoh,8.0
2026-06-11,Thomzay,shadow,unova,4.0
2026-06-11,Thomzay,shadow,kalos,3.0
2026-06-11,Thomzay,shadow,alola,1.0
2026-06-11,Thomzay,purified,kanto,4.0
2026-06-11,Thomzay,purified,johto,1.0
2026-06-11,Thomzay,purified,hoenn,6.0
2026-06-11,Thomzay,purified,sinnoh,1.0
2026-06-11,Thomzay,purified,unova,0.0
2026-06-11,Thomzay,purified,kalos,1.0
2026-06-11,Thomzay,purified,alola,0.0
2026-06-11,Thomzay,hundo,kanto,7.0
2026-06-11,Thomzay,hundo,johto,5.0
2026-06-11,Thomzay,hundo,hoenn,1.0
2026-06-11,Thomzay,hundo,sinnoh,6.0
2026-06-11,Thomzay,hundo,unova,0.0
2026-06-11,Thomzay,hundo,kalos,0.0
2026-06-11,Thomzay,hundo,alola,4.0
2026-06-11,Thomzay,hundo,galar,2.0
2026-06-11,Thomzay,hundo,hisui,0.0
2026-06-11,Thomzay,hundo,paldea,4.0
2026-06-11,Thomzay,hundo,unidentified,0.0
