date,account,medal_id,value
2025-04-26,Thombay,rising_star,103.0
2025-04-26,Thombay,rising_star_duo,215.0
2025-04-26,Thombay,rock,1848.0
2025-04-26,Thombay,scientist,1536.0
2025-04-26,Thombay,sightseer,1430.0
2025-04-26,Thombay,steel,1106.0
2025-04-26,Thombay,successor,28.0
2025-04-26,Thombay,tiny_pokemon_collector,56.0
2025-04-26,Thombay,triathlete,64.0
2025-04-26,Thombay,ultra_hero,8.0
2025-04-26,Thombay,ultra_league_veteran,93.0
2025-04-26,Thombay,unown,6.0
2025-04-26,Thombay,water,7050.0
2025-04-26,Thombay,wayfarer,6.0
2025-04-26,Thombay,youngster,88.0
2025-04-29,Thombay,backpacker,23562.0
2025-04-29,Thombay,collector,33757.0
2025-04-29,Thombay,distance_walked,5977.0
2025-04-29,Thombay,jogger,5977.0
2025-04-29,Thombay,pokemon_caught,33757.0
2025-04-29,Thombay,pokestops_visited,23562.0
2025-05-21,Thombay,ace_trainer,194.0
2025-05-21,Thombay,alola,50.0
2025-05-21,Thombay,backpacker,25257.0
2025-05-21,Thombay,battle_girl,1542.0
2025-05-21,Thombay,battle_legend,181.0
2025-05-21,Thombay,berry_master,6270.0
2025-05-21,Thombay,best_buddy,6.0
2025-05-21,Thombay,breeder,1201.0
2025-05-21,Thombay,bug,4798.0
2025-05-21,Thombay,cameraman,103.0
2025-05-21,Thombay,champion,148.0
2025-05-21,Thombay,collector,35187.0
2025-05-21,Thombay,community_member,0.0
2025-05-21,Thombay,dark,1946.0
2025-05-21,Thombay,distance_walked,6107.3
2025-05-21,Thombay,dragon,497.0
2025-05-21,Thombay,electric,2207.0
2025-05-21,Thombay,expert_navigator,45.0
2025-05-21,Thombay,fairy,1474.0
2025-05-21,Thombay,fighting,1718.0
2025-05-21,Thombay,fire,1957.0
2025-05-21,Thombay,fisher,43.0
2025-05-21,Thombay,flying,5886.0
2025-05-21,Thombay,galar,39.0
2025-05-21,Thombay,gentleman,359.0
2025-05-21,Thombay,ghost,1370.0
2025-05-21,Thombay,grass,3789.0
2025-05-21,Thombay,great_league_veteran,170.0
2025-05-21,Thombay,ground,2252.0
2025-05-21,Thombay,gym_leader,10201.0
2025-05-21,Thombay,hero,715.0
2025-05-21,Thombay,hisui,5.0
2025-05-21,Thombay,hoenn,132.0
2025-05-21,Thombay,ice,1256.0
2025-05-21,Thombay,idol,72.0
2025-05-21,Thombay,jogger,6107.3
2025-05-21,Thombay,johto,100.0
2025-05-21,Thombay,jumbo_pokemon_collector,87.0
2025-05-21,Thombay,kalos,59.0
2025-05-21,Thombay,kanto,151.0
